iter	RMSE
0	14.06690517
1	13.18870836
2	12.36408403
3	11.63910886
4	10.98847826
5	10.40288466
6	9.900406159
7	9.47379263
8	9.057979874
9	8.656138784
10	8.265004174
11	7.949042361
12	7.690802569
13	7.416941216
14	7.183187004
15	6.971347012
16	6.794724064
17	6.651439496
18	6.486324265
19	6.356356901
20	6.250248931
21	6.164149293
22	6.068216802
23	5.985012353
24	5.89665269
25	5.821415283
26	5.745705876
27	5.689434078
28	5.64803947
29	5.593909332
30	5.5484497
31	5.511537191
32	5.470505505
33	5.440824362
34	5.405198403
35	5.370013762
36	5.345248874
37	5.324921228
38	5.302309299
39	5.277303678
40	5.257816112
41	5.238589379
42	5.225916269
43	5.214451834
44	5.193147921
45	5.16750303
46	5.141726641
47	5.127836674
48	5.111861224
49	5.096850123
50	5.084735909
51	5.068128404
52	5.039247173
53	5.022810364
54	5.013097432
55	5.004461696
56	4.992679393
57	4.973510316
58	4.956798653
59	4.94469258
60	4.928283852
61	4.913456854
62	4.902420997
63	4.886590935
64	4.882713439
65	4.873823086
66	4.869241281
67	4.859013354
68	4.848110042
69	4.837967406
70	4.818331526
71	4.810235204
72	4.794724962
73	4.785954502
74	4.775827814
75	4.767367707
76	4.756316034
77	4.74967137
78	4.748726876
79	4.741040396
80	4.733136937
81	4.720355289
82	4.708823087
83	4.704579002
84	4.69238842
85	4.680810752
86	4.67029762
87	4.657260221
88	4.651133046
89	4.640696704
90	4.635420556
91	4.62672065
92	4.620621395
93	4.609739949
94	4.60157375
95	4.586084527
96	4.578190214
97	4.568705978
98	4.565120883
99	4.546985399
