iter	Passed	Remaining
0	0	94
1	1	81
2	2	79
3	3	77
4	4	76
5	4	74
6	5	72
7	6	71
8	6	70
9	7	69
10	8	68
11	9	68
12	10	67
13	10	66
14	11	65
15	12	64
16	13	63
17	13	62
18	14	62
19	15	61
20	16	61
21	17	61
22	18	61
23	18	60
24	19	59
25	20	58
26	21	57
27	22	56
28	22	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	38
52	42	37
53	43	36
54	43	35
55	44	35
56	45	34
57	46	33
58	47	32
59	48	32
60	48	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	70	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	75	3
95	76	3
96	77	2
97	78	1
98	78	0
99	79	0
